연번,업소명,소재지,소재지전화번호
83,제일 어버이 순대,"서울특별시 동작구 상도로 177, 1층",00-0000-0000
84,제주생고기,"서울특별시 동작구 노량진로6길 6-5, 1층",02-826-1342
85,조선화로집 상도역점,서울특별시 동작구 상도로 263-6,02-814-2696
86,족발야시장 노량진점,서울특별시 동작구 만양로 110,02-814-4931
87,종로빈대떡,서울특별시 동작구 동작대로9길 10,02-584-1330
88,주식회사 약초마을,서울특별시 동작구 노량진로 26,02-824-5215
89,주식회사 진주식당,"서울특별시 동작구 노들로 674, 5층 2호, 노량진수산시장",02-2254-7937
90,지호한방삼게탕동작점,서울특별시 동작구 상도로26길 18,02-811-1569
91,차이30(CHAI30),"서울특별시 동작구 보라매로5길 15, 지상30층",02-6954-0099
92,참치마니아,"서울특별시 동작구 동작대로7길 12, 2층",02-582-3737
93,천외천,"서울특별시 동작구 만양로 19, 신동아리버파크상가 217-220호",02-6745-7000
94,청기와 매운탕,"서울특별시 동작구 여의대방로24라길 35, 1층",02-814-7088
95,청담김밥,서울특별시 동작구 사당로16길 28,00-0000-0000
96,청와옥 사당직영점,"서울특별시 동작구 동작대로 71, 1층",02-586-8592
97,청해진,"서울특별시 동작구 노들로 674, 지상2층 20호",02-2254-8950
98,초와밥,서울특별시 동작구 동작대로5길 8,02-523-5937
99,친구네정육식당,"서울특별시 동작구 여의대방로26길 22, 1층",00-0000-0000
100,카츠 디나인(카츠 D9),"서울특별시 동작구 국사봉1길 12-3, 1층",00-0000-0000
101,카츠 디나인(카츠 D9),"서울특별시 동작구 국사봉1길 12-5, 1층",00-0000-0000
102,코코이찌방야 보라매점,"서울특별시 동작구 여의대방로 112, A동 성무관 2층",02-820-8888
103,탕마루김치찌개(장승배기역점),서울특별시 동작구 상도로26길 12,02-813-3082
104,택이네 조개전골 대방점,서울특별시 동작구 상도로 33,02-3280-2110
105,택이네조개전골,"서울특별시 동작구 사당로17가길 13, 2층",00-0000-0000
106,토방마루,서울특별시 동작구 상도로 168,00-0000-0000
107,평강삼계탕 중앙대점,"서울특별시 동작구 서달로 166, 1층",02-824-3339
108,포마토김밥,서울특별시 동작구 보라매로 106,02-821-5400
109,하얼빈양꼬치,"서울특별시 동작구 노량진로8길 53, 1층",00-0000-0000
110,한마루가든,"서울특별시 동작구 여의대방로 250, 대림아파트4층 410호",02-826-0119
111,한솔쌈밥시골보리밥,서울특별시 동작구 성대로2길 7,02-825-9949
112,한울갈비,서울특별시 동작구 동작대로1길 9,02-583-4118
113,함지박,서울특별시 동작구 상도로37길 68-1,02-815-6007
114,항방양육관,"서울특별시 동작구 동작대로27다길 26, 1층 102호",02-525-7866
115,항아리 된장족발,"서울특별시 동작구 흑석로 22, 1층",00-0000-0000
116,형가원보쌈,서울특별시 동작구 동작대로1길 33,02-3473-5353
117,호순네집,"서울특별시 동작구 등용로 107, 1층",00-0000-0000
118,황토정,서울특별시 동작구 서달로13길 5-23,02-814-4467
119,흥부골숯불돼지갈비,서울특별시 동작구 상도로15길 3,02-812-9298
